label,sourceLen,tokens,descriptors,duplicateDescriptors,suppressedDescriptors,crfSize,yieldCount,matched,oraclePruned
testSendingTypeSpecifier#1,57,13,234,0,15,105,146,true,64
testUnsafeExpr#5,27,11,237,0,52,105,130,true,24
testVarDeclTupleElt#1,48,13,199,0,12,94,129,true,47
testUnsafeExpr#7,26,9,173,0,34,80,101,true,8
testVarDeclTuple2#1,56,15,255,0,17,118,166,true,66
testUnsafeExpr#8,30,10,165,0,18,82,102,true,8
testConstAsArgumentLabel#1,29,9,121,0,7,62,79,true,11
testUnsafeExpr#9,70,22,523,0,154,208,285,true,92
testConstAsArgumentLabel#3,33,11,139,0,7,69,99,true,20
testUnsafeExpr#10,44,14,192,0,21,92,103,true,11
testCoroutineAccessors#1,71,17,543,0,144,237,333,true,201
testUnsafeExpr#11,28,10,199,0,62,89,123,true,33
testTrailingCommas#1,76,14,117,0,1,64,100,true,9
testUnsafeExpr#12,23,9,137,0,33,62,90,true,19
testTrailingCommas#2,55,20,218,0,21,102,158,true,34
testUnsafeExpr#13,24,9,170,0,47,73,103,true,37
testUsing#5,17,2,176,0,37,89,66,true,17
testUnsafeExpr#14,23,9,133,0,34,62,87,true,17
testUsing#6,17,2,176,0,37,89,69,true,20
testUnsafeExpr#15,24,9,168,0,48,76,104,true,34
testUsing#7,22,9,117,0,7,60,79,true,11
testUnsafeExpr#16,26,9,167,0,35,77,96,true,7
testUsing#8,22,9,117,0,7,60,79,true,11
testUnsafeExpr#17,10,3,110,0,35,45,53,true,6
testUsing#9,16,4,104,0,16,50,62,true,5
testTriviaEndingInterpolation#1,12,3,105,0,33,45,56,true,4
testUsing#10,48,20,319,0,81,141,193,true,52
testInitCallInPoundIf#1,47,16,402,0,36,227,191,true,75
testAccessorBlockAfterPatternBindingDeclWithAttribute#1,62,20,575,0,160,233,371,true,206
testClosureParameterWithModifier#1,26,11,260,2,53,120,144,true,53
testClosureWithExternalParameterName#1,24,11,223,0,49,104,122,true,33
testClosureWithExternalParameterName#2,24,11,237,0,53,108,127,true,36
testClosureParameterWithAttribute#2,23,10,253,0,66,116,150,true,59
testClosureParameterWithAttribute#3,79,17,476,1,112,205,286,true,128
testClosureWithDollarIdentifier#1,124,35,587,0,204,242,418,true,155
testClosureWithDollarIdentifier#3,74,19,448,0,151,196,293,true,86
testTypedThrowsDisambiguation#1,30,12,207,0,50,84,124,true,45
testTypedThrowsDisambiguation#2,32,13,238,0,54,97,141,true,57
testTypedThrowsDisambiguation#3,30,13,237,0,64,93,161,true,82
testTypedThrowsDisambiguation#4,36,14,238,0,64,93,162,true,82
testTypedThrowsClosureParam#1,33,15,379,0,104,168,220,true,91
testTypedThrowsShorthandClosureParams#1,31,13,256,0,67,111,143,true,35
testArrayExprWithNoCommas#1,7,6,137,0,44,55,77,true,20
testSendableAttributeInClosure#1,27,11,374,0,81,170,196,true,100
testSubscriptDeinitMembers#1,7,2,49,0,16,23,30,true,3
testSubscriptDeinitMembers#2,10,2,49,0,16,23,30,true,3
testSubscriptDeinitMembers#3,8,3,78,0,31,33,54,true,20
testSubscriptDeinitMembers#4,11,3,78,0,31,33,54,true,20
